application_id,application_date,applicant_id,applicant_income,property_value,loan_to_value_ratio,loan_amount,loan_type,application_status,interest_rate,loan_term_months,property_state,property_county,lender,debt_to_income_ratio,credit_score_range,denial_reason,data_source_system,created_timestamp,updated_timestamp
APP-C-0028790,2024-06-23T01:47:04,APPL-C-0036540,51803.79,140417.43,0.8257,115943.19,FHA,Withdrawn,5.752,180,ND,Madison County,Harborview Financial,0.258,740-779,,LOS-CORE,2024-06-23T01:47:04,2024-07-08T01:47:04
APP-C-0047447,2024-08-26T21:20:10,APPL-C-0020646,87691.17,431013.81,0.853,367642.34,FHA,Approved,7.104,360,DE,Monroe County,Crestpoint Mortgage,0.4172,740-779,,LOS-CORE,2024-08-26T21:20:10,2024-10-20T21:20:10
APP-C-0138748,2023-12-14T16:21:49,APPL-C-0097140,57863.1,161061.26,1.1,177167.38,Conventional,Approved,6.878,360,MA,Franklin County,Northgate Home Loans,0.1744,660-699,,LOS-CORE,2023-12-14T16:21:49,2024-01-05T16:21:49
APP-C-0006846,2022-05-20T22:06:08,APPL-C-0029893,51971.08,314605.49,0.7872,247665.61,FHA,Withdrawn,6.976,360,DC,Union County,Bluegrass Mortgage Co,0.233,700-739,,LOS-CORE,2022-05-20T22:06:08,2022-06-10T22:06:08
APP-C-0042641,2025-05-20T02:21:00,APPL-C-0056353,68366.06,398670.99,0.6392,254827.39,Conventional,Withdrawn,7.508,360,CO,Madison County,Pinnacle Federal Credit Union,0.2523,620-659,,LOS-CORE,2025-05-20T02:21:00,2025-06-15T02:21:00
APP-C-0038734,2023-11-24T18:52:52,APPL-C-0088862,18000.0,60319.19,0.9745,58780.69,FHA,Denied,5.197,360,CA,Monroe County,Riverstone Lending,0.5988,740-779,Collateral,LOS-CORE,2023-11-24T18:52:52,2024-01-07T18:52:52
APP-C-0131013,2024-11-01T05:43:45,APPL-C-0011800,133117.24,420080.39,0.8419,353655.64,Conventional,Approved,6.764,240,CA,Jefferson County,Meridian Home Lending,0.1685,740-779,,LOS-CORE,2024-11-01T05:43:45,2024-11-30T05:43:45
APP-C-0139604,2023-10-27T14:32:59,APPL-C-0067158,161456.97,633116.49,0.9085,575205.28,Conventional,Approved,4.0,360,AR,Clay County,Northgate Home Loans,0.5765,740-779,,LOS-CORE,2023-10-27T14:32:59,2023-10-29T14:32:59
APP-C-0006349,2023-03-16T16:23:23,APPL-C-0015110,122882.34,505651.68,1.0627,537331.3,Conventional,Approved,6.612,360,AR,Franklin County,Bluegrass Mortgage Co,0.3564,660-699,,LOS-CORE,2023-03-16T16:23:23,2023-04-24T16:23:23
APP-C-0015977,2025-03-02T19:03:47,APPL-C-0093378,18211.0,101256.63,0.8221,83242.7,USDA,Incomplete,6.531,360,IL,Washington County,Meridian Home Lending,0.3729,780+,,LOS-CORE,2025-03-02T19:03:47,2025-03-27T19:03:47
APP-C-0052726,2024-10-14T19:00:01,APPL-C-0117334,80756.68,484621.13,0.8074,391293.58,Conventional,Withdrawn,7.169,360,AR,Washington County,Bluegrass Mortgage Co,0.1339,580-619,,LOS-CORE,2024-10-14T19:00:01,2024-11-26T19:00:01
APP-C-0134682,2024-01-02T15:41:16,APPL-C-0002938,52164.44,223047.57,0.5838,130218.64,Conventional,Approved,8.539,360,ID,Union County,Ashford Trust Bank,0.3562,620-659,,LOS-CORE,2024-01-02T15:41:16,2024-01-23T15:41:16
APP-C-0111379,2022-04-30T18:38:31,APPL-C-0027912,105293.68,461313.88,0.6147,283581.96,Conventional,Denied,6.924,360,WA,Jefferson County,Crestpoint Mortgage,0.5281,580-619,Incomplete application,LOS-CORE,2022-04-30T18:38:31,2022-05-06T18:38:31
APP-C-0079753,2024-04-21T19:10:18,APPL-C-0123277,51826.52,274405.79,0.9109,249945.45,Conventional,Withdrawn,7.036,360,ME,Clay County,Harborview Financial,0.2614,660-699,,LOS-CORE,2024-04-21T19:10:18,2024-05-17T19:10:18
APP-C-0108494,2023-07-11T22:46:01,APPL-C-0106576,43053.35,202909.95,0.6919,140400.26,FHA,Withdrawn,7.376,360,NY,Clay County,Northgate Home Loans,0.0805,740-779,,LOS-CORE,2023-07-11T22:46:01,2023-08-03T22:46:01
APP-C-0068367,2024-05-11T03:17:12,APPL-C-0060867,52464.12,124234.39,0.8015,99579.7,FHA,Approved,9.54,360,CA,Franklin County,Summit National Bank,0.2746,740-779,,LOS-CORE,2024-05-11T03:17:12,2024-06-02T03:17:12
